Dataset = ogbn-arxiv, batch_size = 2048
Layer_1 10692 | Layer_2 40758 | Layer_3 97377
Epoch 00000 | Loss 2.9448 | Accuracy 0.4170 | Time : 5.1839 | loop 1.5523 | Model 3.6308 | x_y_time 0.0120 | pred 2.0869 | loss_time 0.0186
Epoch 00001 | Loss 2.2404 | Accuracy 0.5064 | Time : 3.5341 | loop 1.3687 | Model 2.1646 | x_y_time 0.0073 | pred 1.3201 | loss_time 0.0179
Epoch 00002 | Loss 1.9455 | Accuracy 0.5458 | Time : 3.5202 | loop 1.3617 | Model 2.1576 | x_y_time 0.0074 | pred 1.3062 | loss_time 0.0196
Epoch 00003 | Loss 1.7953 | Accuracy 0.5562 | Time : 3.4802 | loop 1.3416 | Model 2.1378 | x_y_time 0.0074 | pred 1.3011 | loss_time 0.0179
Epoch 00004 | Loss 1.7109 | Accuracy 0.5639 | Time : 3.4797 | loop 1.3587 | Model 2.1203 | x_y_time 0.0071 | pred 1.2880 | loss_time 0.0179
Epoch 00005 | Loss 1.6576 | Accuracy 0.5748 | Time : 3.5107 | loop 1.3663 | Model 2.1435 | x_y_time 0.0076 | pred 1.3012 | loss_time 0.0183
Epoch 00006 | Loss 1.6130 | Accuracy 0.5741 | Time : 3.4841 | loop 1.3545 | Model 2.1288 | x_y_time 0.0075 | pred 1.2926 | loss_time 0.0184
Epoch 00007 | Loss 1.5793 | Accuracy 0.5834 | Time : 3.4558 | loop 1.3308 | Model 2.1243 | x_y_time 0.0074 | pred 1.2903 | loss_time 0.0181
Epoch 00008 | Loss 1.5567 | Accuracy 0.5873 | Time : 3.4704 | loop 1.3461 | Model 2.1235 | x_y_time 0.0077 | pred 1.2913 | loss_time 0.0180
Epoch 00009 | Loss 1.5323 | Accuracy 0.5852 | Time : 3.5096 | loop 1.3617 | Model 2.1470 | x_y_time 0.0074 | pred 1.3199 | loss_time 0.0185
Epoch 00010 | Loss 1.5177 | Accuracy 0.5868 | Time : 3.5025 | loop 1.3553 | Model 2.1464 | x_y_time 0.0076 | pred 1.3122 | loss_time 0.0180
Epoch 00011 | Loss 1.4991 | Accuracy 0.5914 | Time : 3.4485 | loop 1.3247 | Model 2.1230 | x_y_time 0.0072 | pred 1.2868 | loss_time 0.0177
Epoch 00012 | Loss 1.4877 | Accuracy 0.5919 | Time : 3.4974 | loop 1.3727 | Model 2.1240 | x_y_time 0.0077 | pred 1.2912 | loss_time 0.0182
