Dataset = ogbn-arxiv, batch_size = 1024
Layer_1 5550 | Layer_2 24750 | Layer_3 76607
Epoch 00000 | Loss 2.6489 | Accuracy 0.4897 | Time : 8.1161 | loop 2.6808 | Model 5.4341 | x_y_time 0.0230 | pred 3.0700 | loss_time 0.0180
Epoch 00001 | Loss 1.9429 | Accuracy 0.5497 | Time : 6.3704 | loop 2.4671 | Model 3.9021 | x_y_time 0.0137 | pred 2.2833 | loss_time 0.0176
Epoch 00002 | Loss 1.7431 | Accuracy 0.5649 | Time : 6.3127 | loop 2.4601 | Model 3.8514 | x_y_time 0.0139 | pred 2.2463 | loss_time 0.0177
Epoch 00003 | Loss 1.6532 | Accuracy 0.5669 | Time : 6.3320 | loop 2.4682 | Model 3.8626 | x_y_time 0.0139 | pred 2.2568 | loss_time 0.0175
Epoch 00004 | Loss 1.5947 | Accuracy 0.5810 | Time : 6.2301 | loop 2.4170 | Model 3.8119 | x_y_time 0.0138 | pred 2.2241 | loss_time 0.0177
Epoch 00005 | Loss 1.5554 | Accuracy 0.5827 | Time : 6.2815 | loop 2.4487 | Model 3.8314 | x_y_time 0.0142 | pred 2.2334 | loss_time 0.0192
Epoch 00006 | Loss 1.5201 | Accuracy 0.5791 | Time : 6.2577 | loop 2.4412 | Model 3.8153 | x_y_time 0.0137 | pred 2.2329 | loss_time 0.0176
Epoch 00007 | Loss 1.5027 | Accuracy 0.5879 | Time : 6.2495 | loop 2.4336 | Model 3.8147 | x_y_time 0.0145 | pred 2.2239 | loss_time 0.0217
Epoch 00008 | Loss 1.4820 | Accuracy 0.5895 | Time : 6.2713 | loop 2.4457 | Model 3.8244 | x_y_time 0.0146 | pred 2.2369 | loss_time 0.0193
Epoch 00009 | Loss 1.4668 | Accuracy 0.5904 | Time : 6.2627 | loop 2.4400 | Model 3.8215 | x_y_time 0.0141 | pred 2.2290 | loss_time 0.0187
Epoch 00010 | Loss 1.4543 | Accuracy 0.5886 | Time : 6.2301 | loop 2.4425 | Model 3.7864 | x_y_time 0.0142 | pred 2.2233 | loss_time 0.0169
Epoch 00011 | Loss 1.4443 | Accuracy 0.5902 | Time : 6.2505 | loop 2.4445 | Model 3.8049 | x_y_time 0.0140 | pred 2.2414 | loss_time 0.0175
Epoch 00012 | Loss 1.4328 | Accuracy 0.5954 | Time : 6.4251 | loop 2.4200 | Model 4.0039 | x_y_time 0.0140 | pred 2.3360 | loss_time 0.0254
Epoch 00013 | Loss 1.4291 | Accuracy 0.5930 | Time : 6.8406 | loop 2.4318 | Model 4.4076 | x_y_time 0.0139 | pred 2.5676 | loss_time 0.0256
Epoch 00014 | Loss 1.4215 | Accuracy 0.5934 | Time : 6.8083 | loop 2.4447 | Model 4.3623 | x_y_time 0.0146 | pred 2.5402 | loss_time 0.0256
Epoch 00015 | Loss 1.4129 | Accuracy 0.5970 | Time : 6.9686 | loop 2.5094 | Model 4.4580 | x_y_time 0.0147 | pred 2.6083 | loss_time 0.0256
Epoch 00016 | Loss 1.4066 | Accuracy 0.5940 | Time : 6.9431 | loop 2.4496 | Model 4.4923 | x_y_time 0.0140 | pred 2.6174 | loss_time 0.0258
Epoch 00017 | Loss 1.4023 | Accuracy 0.5963 | Time : 6.8402 | loop 2.4146 | Model 4.4244 | x_y_time 0.0140 | pred 2.5595 | loss_time 0.0261
Epoch 00018 | Loss 1.3989 | Accuracy 0.5984 | Time : 6.7665 | loop 2.4380 | Model 4.3273 | x_y_time 0.0140 | pred 2.5299 | loss_time 0.0192
Epoch 00019 | Loss 1.3948 | Accuracy 0.5984 | Time : 6.7522 | loop 2.4357 | Model 4.3153 | x_y_time 0.0149 | pred 2.5146 | loss_time 0.0262
Epoch 00020 | Loss 1.3890 | Accuracy 0.6035 | Time : 6.9105 | loop 2.4336 | Model 4.4758 | x_y_time 0.0143 | pred 2.6117 | loss_time 0.0257
Epoch 00021 | Loss 1.3829 | Accuracy 0.6022 | Time : 6.8547 | loop 2.4470 | Model 4.4066 | x_y_time 0.0145 | pred 2.5665 | loss_time 0.0257
Epoch 00022 | Loss 1.3784 | Accuracy 0.6028 | Time : 6.7653 | loop 2.4628 | Model 4.3014 | x_y_time 0.0146 | pred 2.5365 | loss_time 0.0265
Epoch 00023 | Loss 1.3791 | Accuracy 0.6032 | Time : 6.9207 | loop 2.4558 | Model 4.4637 | x_y_time 0.0144 | pred 2.5956 | loss_time 0.0261
Epoch 00024 | Loss 1.3781 | Accuracy 0.6030 | Time : 6.8422 | loop 2.4394 | Model 4.4016 | x_y_time 0.0146 | pred 2.5623 | loss_time 0.0266
Epoch 00025 | Loss 1.3719 | Accuracy 0.6010 | Time : 6.9266 | loop 2.4362 | Model 4.4893 | x_y_time 0.0146 | pred 2.6053 | loss_time 0.0262
Epoch 00026 | Loss 1.3682 | Accuracy 0.5991 | Time : 6.8282 | loop 2.4319 | Model 4.3951 | x_y_time 0.0141 | pred 2.5734 | loss_time 0.0258
Epoch 00027 | Loss 1.3669 | Accuracy 0.6058 | Time : 6.8255 | loop 2.4229 | Model 4.4015 | x_y_time 0.0145 | pred 2.5733 | loss_time 0.0262
Epoch 00028 | Loss 1.3667 | Accuracy 0.6038 | Time : 6.9817 | loop 2.4212 | Model 4.5594 | x_y_time 0.0144 | pred 2.6374 | loss_time 0.0276
Epoch 00029 | Loss 1.3587 | Accuracy 0.6053 | Time : 6.9200 | loop 2.4257 | Model 4.4931 | x_y_time 0.0143 | pred 2.6154 | loss_time 0.0195
Epoch 00030 | Loss 1.3602 | Accuracy 0.6056 | Time : 6.9266 | loop 2.4658 | Model 4.4597 | x_y_time 0.0147 | pred 2.6079 | loss_time 0.0261
Epoch 00031 | Loss 1.3550 | Accuracy 0.6046 | Time : 6.8862 | loop 2.4303 | Model 4.4547 | x_y_time 0.0142 | pred 2.6049 | loss_time 0.0255
Epoch 00032 | Loss 1.3530 | Accuracy 0.6062 | Time : 6.8544 | loop 2.4400 | Model 4.4133 | x_y_time 0.0145 | pred 2.5890 | loss_time 0.0261
Epoch 00033 | Loss 1.3509 | Accuracy 0.6059 | Time : 6.9333 | loop 2.4662 | Model 4.4659 | x_y_time 0.0147 | pred 2.6069 | loss_time 0.0260
Epoch 00034 | Loss 1.3521 | Accuracy 0.6048 | Time : 6.9308 | loop 2.4658 | Model 4.4638 | x_y_time 0.0144 | pred 2.6021 | loss_time 0.0263
Epoch 00035 | Loss 1.3493 | Accuracy 0.6063 | Time : 6.8332 | loop 2.4092 | Model 4.4229 | x_y_time 0.0146 | pred 2.5850 | loss_time 0.0260
Epoch 00036 | Loss 1.3478 | Accuracy 0.6057 | Time : 6.8750 | loop 2.4280 | Model 4.4459 | x_y_time 0.0143 | pred 2.6005 | loss_time 0.0261
Epoch 00037 | Loss 1.3437 | Accuracy 0.6067 | Time : 6.8751 | loop 2.4348 | Model 4.4391 | x_y_time 0.0146 | pred 2.5613 | loss_time 0.0263
Epoch 00038 | Loss 1.3447 | Accuracy 0.6061 | Time : 6.9369 | loop 2.4395 | Model 4.4963 | x_y_time 0.0147 | pred 2.6289 | loss_time 0.0262
Epoch 00039 | Loss 1.3459 | Accuracy 0.6053 | Time : 6.9254 | loop 2.4698 | Model 4.4544 | x_y_time 0.0146 | pred 2.5855 | loss_time 0.0262
Epoch 00040 | Loss 1.3423 | Accuracy 0.6047 | Time : 6.8670 | loop 2.4271 | Model 4.4388 | x_y_time 0.0141 | pred 2.5878 | loss_time 0.0261
Epoch 00041 | Loss 1.3390 | Accuracy 0.6085 | Time : 6.9267 | loop 2.4493 | Model 4.4762 | x_y_time 0.0142 | pred 2.6143 | loss_time 0.0279
Epoch 00042 | Loss 1.3397 | Accuracy 0.6091 | Time : 6.9461 | loop 2.4600 | Model 4.4848 | x_y_time 0.0148 | pred 2.6094 | loss_time 0.0198
Epoch 00043 | Loss 1.3396 | Accuracy 0.6037 | Time : 6.8942 | loop 2.4188 | Model 4.4742 | x_y_time 0.0144 | pred 2.6003 | loss_time 0.0279
Epoch 00044 | Loss 1.3374 | Accuracy 0.6073 | Time : 6.8819 | loop 2.4424 | Model 4.4384 | x_y_time 0.0145 | pred 2.5888 | loss_time 0.0264
Epoch 00045 | Loss 1.3345 | Accuracy 0.6063 | Time : 6.8504 | loop 2.4273 | Model 4.4219 | x_y_time 0.0149 | pred 2.5791 | loss_time 0.0259
Epoch 00046 | Loss 1.3355 | Accuracy 0.6085 | Time : 6.8912 | loop 2.4050 | Model 4.4850 | x_y_time 0.0141 | pred 2.6011 | loss_time 0.0259
Epoch 00047 | Loss 1.3334 | Accuracy 0.6052 | Time : 6.9391 | loop 2.4421 | Model 4.4958 | x_y_time 0.0147 | pred 2.6210 | loss_time 0.0264
Epoch 00048 | Loss 1.3318 | Accuracy 0.6070 | Time : 6.8418 | loop 2.4273 | Model 4.4132 | x_y_time 0.0144 | pred 2.5609 | loss_time 0.0263
Epoch 00049 | Loss 1.3329 | Accuracy 0.6073 | Time : 6.8464 | loop 2.4644 | Model 4.3808 | x_y_time 0.0149 | pred 2.5699 | loss_time 0.0262
Epoch 00050 | Loss 1.3306 | Accuracy 0.6079 | Time : 7.0079 | loop 2.4404 | Model 4.5663 | x_y_time 0.0146 | pred 2.6580 | loss_time 0.0266
Epoch 00051 | Loss 1.3297 | Accuracy 0.6092 | Time : 6.9291 | loop 2.4467 | Model 4.4812 | x_y_time 0.0146 | pred 2.6156 | loss_time 0.0278
Epoch 00052 | Loss 1.3292 | Accuracy 0.6068 | Time : 6.7658 | loop 2.4227 | Model 4.3419 | x_y_time 0.0144 | pred 2.5310 | loss_time 0.0262
Epoch 00053 | Loss 1.3253 | Accuracy 0.6059 | Time : 6.8843 | loop 2.4316 | Model 4.4516 | x_y_time 0.0144 | pred 2.5900 | loss_time 0.0261
Epoch 00054 | Loss 1.3237 | Accuracy 0.6097 | Time : 6.9211 | loop 2.4355 | Model 4.4845 | x_y_time 0.0146 | pred 2.5949 | loss_time 0.0263
Epoch 00055 | Loss 1.3237 | Accuracy 0.6075 | Time : 6.8254 | loop 2.4188 | Model 4.4054 | x_y_time 0.0145 | pred 2.5606 | loss_time 0.0262
Epoch 00056 | Loss 1.3204 | Accuracy 0.6101 | Time : 6.7733 | loop 2.4237 | Model 4.3485 | x_y_time 0.0148 | pred 2.5363 | loss_time 0.0267
Epoch 00057 | Loss 1.3235 | Accuracy 0.6094 | Time : 7.0153 | loop 2.4939 | Model 4.5202 | x_y_time 0.0157 | pred 2.6447 | loss_time 0.0261
Epoch 00058 | Loss 1.3230 | Accuracy 0.6063 | Time : 6.9978 | loop 2.4435 | Model 4.5531 | x_y_time 0.0142 | pred 2.6532 | loss_time 0.0274
Epoch 00059 | Loss 1.3217 | Accuracy 0.6106 | Time : 6.9417 | loop 2.4788 | Model 4.4618 | x_y_time 0.0149 | pred 2.6179 | loss_time 0.0261
Epoch 00060 | Loss 1.3220 | Accuracy 0.6104 | Time : 6.8834 | loop 2.4424 | Model 4.4399 | x_y_time 0.0147 | pred 2.6020 | loss_time 0.0264
Epoch 00061 | Loss 1.3194 | Accuracy 0.6055 | Time : 6.9807 | loop 2.4214 | Model 4.5582 | x_y_time 0.0145 | pred 2.6344 | loss_time 0.0198
Epoch 00062 | Loss 1.3187 | Accuracy 0.6086 | Time : 6.9259 | loop 2.4544 | Model 4.4703 | x_y_time 0.0142 | pred 2.5766 | loss_time 0.0266
