Dataset = ogbn-arxiv, batch_size = 4096
Layer_1 16200 | Layer_2 42838 | Layer_3 81510
Epoch 00000 | Loss 3.2422 | Accuracy 0.2696 | Time : 3.4208 | loop 0.8865 | Model 2.5337 | x_y_time 0.0061 | pred 1.3966 | loss_time 0.0188
Epoch 00001 | Loss 2.6574 | Accuracy 0.3989 | Time : 1.7470 | loop 0.7120 | Model 1.0344 | x_y_time 0.0038 | pred 0.6087 | loss_time 0.0179
Epoch 00002 | Loss 2.3663 | Accuracy 0.4728 | Time : 1.7754 | loop 0.7144 | Model 1.0604 | x_y_time 0.0035 | pred 0.6255 | loss_time 0.0180
Epoch 00003 | Loss 2.1576 | Accuracy 0.5038 | Time : 1.7544 | loop 0.7150 | Model 1.0389 | x_y_time 0.0037 | pred 0.6106 | loss_time 0.0178
Epoch 00004 | Loss 2.0154 | Accuracy 0.5285 | Time : 1.7376 | loop 0.7058 | Model 1.0313 | x_y_time 0.0036 | pred 0.6044 | loss_time 0.0180
Epoch 00005 | Loss 1.9183 | Accuracy 0.5362 | Time : 1.7561 | loop 0.7158 | Model 1.0396 | x_y_time 0.0035 | pred 0.6115 | loss_time 0.0185
Epoch 00006 | Loss 1.8536 | Accuracy 0.5484 | Time : 1.7338 | loop 0.7013 | Model 1.0319 | x_y_time 0.0035 | pred 0.6036 | loss_time 0.0195
Epoch 00007 | Loss 1.8012 | Accuracy 0.5520 | Time : 1.7216 | loop 0.6957 | Model 1.0253 | x_y_time 0.0035 | pred 0.5993 | loss_time 0.0177
Epoch 00008 | Loss 1.7536 | Accuracy 0.5575 | Time : 1.7355 | loop 0.7069 | Model 1.0281 | x_y_time 0.0035 | pred 0.6045 | loss_time 0.0179
Epoch 00009 | Loss 1.7219 | Accuracy 0.5596 | Time : 1.7479 | loop 0.7122 | Model 1.0351 | x_y_time 0.0037 | pred 0.6089 | loss_time 0.0179
Epoch 00010 | Loss 1.6921 | Accuracy 0.5639 | Time : 1.7389 | loop 0.7047 | Model 1.0336 | x_y_time 0.0035 | pred 0.6078 | loss_time 0.0179
Epoch 00011 | Loss 1.6722 | Accuracy 0.5644 | Time : 1.7368 | loop 0.6956 | Model 1.0406 | x_y_time 0.0034 | pred 0.6128 | loss_time 0.0178
Epoch 00012 | Loss 1.6502 | Accuracy 0.5698 | Time : 1.7247 | loop 0.6948 | Model 1.0293 | x_y_time 0.0037 | pred 0.5988 | loss_time 0.0188
Epoch 00013 | Loss 1.6275 | Accuracy 0.5717 | Time : 1.7242 | loop 0.6993 | Model 1.0243 | x_y_time 0.0036 | pred 0.5994 | loss_time 0.0179
Epoch 00014 | Loss 1.6124 | Accuracy 0.5756 | Time : 1.7216 | loop 0.6938 | Model 1.0272 | x_y_time 0.0036 | pred 0.6014 | loss_time 0.0180
Epoch 00015 | Loss 1.6029 | Accuracy 0.5774 | Time : 1.7183 | loop 0.6926 | Model 1.0252 | x_y_time 0.0035 | pred 0.5988 | loss_time 0.0180
Epoch 00016 | Loss 1.5856 | Accuracy 0.5787 | Time : 1.7798 | loop 0.7168 | Model 1.0624 | x_y_time 0.0038 | pred 0.6224 | loss_time 0.0185
Epoch 00017 | Loss 1.5778 | Accuracy 0.5802 | Time : 1.7349 | loop 0.7002 | Model 1.0341 | x_y_time 0.0037 | pred 0.6083 | loss_time 0.0181
Epoch 00018 | Loss 1.5647 | Accuracy 0.5802 | Time : 1.7284 | loop 0.6979 | Model 1.0299 | x_y_time 0.0038 | pred 0.6061 | loss_time 0.0183
Epoch 00019 | Loss 1.5562 | Accuracy 0.5795 | Time : 1.7312 | loop 0.6939 | Model 1.0367 | x_y_time 0.0035 | pred 0.6068 | loss_time 0.0195
Epoch 00020 | Loss 1.5434 | Accuracy 0.5831 | Time : 1.7148 | loop 0.6966 | Model 1.0176 | x_y_time 0.0037 | pred 0.5966 | loss_time 0.0180
Epoch 00021 | Loss 1.5423 | Accuracy 0.5804 | Time : 1.7162 | loop 0.6880 | Model 1.0276 | x_y_time 0.0035 | pred 0.5992 | loss_time 0.0182
