Dataset = ogbn-arxiv, batch_size = 1024
Layer_1 4424 | Layer_2 15279 | Layer_3 42756
Epoch 00000 | Loss 2.7505 | Accuracy 0.4551 | Time : 7.5556 | loop 2.5727 | Model 4.9816 | x_y_time 0.0228 | pred 2.6422 | loss_time 0.0181
Epoch 00001 | Loss 2.0647 | Accuracy 0.5232 | Time : 5.8369 | loop 2.3612 | Model 3.4745 | x_y_time 0.0141 | pred 1.8448 | loss_time 0.0180
Epoch 00002 | Loss 1.8444 | Accuracy 0.5449 | Time : 5.7716 | loop 2.3392 | Model 3.4312 | x_y_time 0.0139 | pred 1.8251 | loss_time 0.0178
Epoch 00003 | Loss 1.7464 | Accuracy 0.5609 | Time : 5.6931 | loop 2.3031 | Model 3.3889 | x_y_time 0.0141 | pred 1.7845 | loss_time 0.0179
Epoch 00004 | Loss 1.6816 | Accuracy 0.5681 | Time : 5.7246 | loop 2.3261 | Model 3.3973 | x_y_time 0.0141 | pred 1.8038 | loss_time 0.0181
Epoch 00005 | Loss 1.6386 | Accuracy 0.5719 | Time : 5.8179 | loop 2.3752 | Model 3.4415 | x_y_time 0.0161 | pred 1.8269 | loss_time 0.0182
Epoch 00006 | Loss 1.6092 | Accuracy 0.5745 | Time : 5.7818 | loop 2.3498 | Model 3.4308 | x_y_time 0.0164 | pred 1.8159 | loss_time 0.0182
Epoch 00007 | Loss 1.5847 | Accuracy 0.5778 | Time : 5.8954 | loop 2.4117 | Model 3.4825 | x_y_time 0.0164 | pred 1.8487 | loss_time 0.0178
Epoch 00008 | Loss 1.5632 | Accuracy 0.5756 | Time : 5.7178 | loop 2.3246 | Model 3.3920 | x_y_time 0.0149 | pred 1.7970 | loss_time 0.0176
Epoch 00009 | Loss 1.5491 | Accuracy 0.5822 | Time : 5.7460 | loop 2.3351 | Model 3.4097 | x_y_time 0.0149 | pred 1.8161 | loss_time 0.0177
Epoch 00010 | Loss 1.5335 | Accuracy 0.5789 | Time : 5.7752 | loop 2.3539 | Model 3.4202 | x_y_time 0.0164 | pred 1.8118 | loss_time 0.0175
Epoch 00011 | Loss 1.5235 | Accuracy 0.5822 | Time : 5.7899 | loop 2.3592 | Model 3.4295 | x_y_time 0.0166 | pred 1.8186 | loss_time 0.0184
Epoch 00012 | Loss 1.5115 | Accuracy 0.5838 | Time : 5.7604 | loop 2.3447 | Model 3.4144 | x_y_time 0.0152 | pred 1.7967 | loss_time 0.0174
Epoch 00013 | Loss 1.5056 | Accuracy 0.5839 | Time : 5.7046 | loop 2.3305 | Model 3.3728 | x_y_time 0.0156 | pred 1.7932 | loss_time 0.0176
Epoch 00014 | Loss 1.5001 | Accuracy 0.5900 | Time : 5.6987 | loop 2.3441 | Model 3.3534 | x_y_time 0.0146 | pred 1.7988 | loss_time 0.0182
Epoch 00015 | Loss 1.4918 | Accuracy 0.5805 | Time : 5.6846 | loop 2.3093 | Model 3.3742 | x_y_time 0.0147 | pred 1.7859 | loss_time 0.0178
Epoch 00016 | Loss 1.4862 | Accuracy 0.5866 | Time : 5.7342 | loop 2.3313 | Model 3.4017 | x_y_time 0.0157 | pred 1.7995 | loss_time 0.0183
Epoch 00017 | Loss 1.4760 | Accuracy 0.5874 | Time : 5.8061 | loop 2.3761 | Model 3.4288 | x_y_time 0.0166 | pred 1.8299 | loss_time 0.0178
