Dataset = ogbn-arxiv, batch_size = 4096
Layer_1 20125 | Layer_2 62998 | Layer_3 116204
Epoch 00000 | Loss 3.3380 | Accuracy 0.2547 | Time : 3.6427 | loop 0.9812 | Model 2.6609 | x_y_time 0.0064 | pred 1.5271 | loss_time 0.0184
Epoch 00001 | Loss 2.6308 | Accuracy 0.4193 | Time : 1.9390 | loop 0.7706 | Model 1.1678 | x_y_time 0.0038 | pred 0.7443 | loss_time 0.0180
Epoch 00002 | Loss 2.2840 | Accuracy 0.4813 | Time : 1.9339 | loop 0.7676 | Model 1.1657 | x_y_time 0.0041 | pred 0.7401 | loss_time 0.0175
Epoch 00003 | Loss 2.0698 | Accuracy 0.5224 | Time : 1.9006 | loop 0.7590 | Model 1.1409 | x_y_time 0.0037 | pred 0.7204 | loss_time 0.0175
Epoch 00004 | Loss 1.9228 | Accuracy 0.5390 | Time : 1.9181 | loop 0.7553 | Model 1.1621 | x_y_time 0.0036 | pred 0.7335 | loss_time 0.0198
Epoch 00005 | Loss 1.8324 | Accuracy 0.5487 | Time : 1.8971 | loop 0.7514 | Model 1.1451 | x_y_time 0.0036 | pred 0.7242 | loss_time 0.0176
Epoch 00006 | Loss 1.7641 | Accuracy 0.5558 | Time : 1.9163 | loop 0.7617 | Model 1.1540 | x_y_time 0.0036 | pred 0.7302 | loss_time 0.0180
Epoch 00007 | Loss 1.7231 | Accuracy 0.5644 | Time : 1.8884 | loop 0.7482 | Model 1.1396 | x_y_time 0.0036 | pred 0.7149 | loss_time 0.0181
Epoch 00008 | Loss 1.6775 | Accuracy 0.5683 | Time : 1.8834 | loop 0.7514 | Model 1.1315 | x_y_time 0.0038 | pred 0.7128 | loss_time 0.0188
Epoch 00009 | Loss 1.6536 | Accuracy 0.5712 | Time : 1.9048 | loop 0.7558 | Model 1.1484 | x_y_time 0.0036 | pred 0.7264 | loss_time 0.0179
Epoch 00010 | Loss 1.6274 | Accuracy 0.5786 | Time : 1.8820 | loop 0.7417 | Model 1.1397 | x_y_time 0.0036 | pred 0.7163 | loss_time 0.0179
