Dataset = ogbn-products, batch_size = 2048
Layer_1 19483 | Layer_2 84678 | Layer_3 175274
Epoch 00000 | Loss 1.8160 | Accuracy 0.8125 | Time : 19.6389 | loop 12.8018 | Model 6.8359 | x_y_time 0.0247 | pred 4.2908 | loss_time 0.0186
Epoch 00001 | Loss 0.8501 | Accuracy 0.8464 | Time : 8.8569 | loop 3.3908 | Model 5.4648 | x_y_time 0.0149 | pred 3.6651 | loss_time 0.0186
Epoch 00002 | Loss 0.6936 | Accuracy 0.8591 | Time : 8.8754 | loop 3.3862 | Model 5.4880 | x_y_time 0.0149 | pred 3.6700 | loss_time 0.0183
Epoch 00003 | Loss 0.6184 | Accuracy 0.8655 | Time : 8.8595 | loop 3.3873 | Model 5.4710 | x_y_time 0.0154 | pred 3.6723 | loss_time 0.0187
Epoch 00004 | Loss 0.5739 | Accuracy 0.8716 | Time : 8.8445 | loop 3.3656 | Model 5.4775 | x_y_time 0.0151 | pred 3.6725 | loss_time 0.0217
Epoch 00005 | Loss 0.5396 | Accuracy 0.8753 | Time : 8.8243 | loop 3.3637 | Model 5.4593 | x_y_time 0.0155 | pred 3.6670 | loss_time 0.0189
Epoch 00006 | Loss 0.5142 | Accuracy 0.8779 | Time : 8.7790 | loop 3.3643 | Model 5.4134 | x_y_time 0.0153 | pred 3.6193 | loss_time 0.0182
Epoch 00007 | Loss 0.4967 | Accuracy 0.8803 | Time : 8.8181 | loop 3.3760 | Model 5.4408 | x_y_time 0.0158 | pred 3.6521 | loss_time 0.0185
Epoch 00008 | Loss 0.4794 | Accuracy 0.8827 | Time : 8.7902 | loop 3.3666 | Model 5.4223 | x_y_time 0.0153 | pred 3.6321 | loss_time 0.0183
Epoch 00009 | Loss 0.4653 | Accuracy 0.8845 | Time : 8.7331 | loop 3.3366 | Model 5.3953 | x_y_time 0.0155 | pred 3.6146 | loss_time 0.0186
Epoch 00010 | Loss 0.4544 | Accuracy 0.8852 | Time : 8.7508 | loop 3.3478 | Model 5.4018 | x_y_time 0.0152 | pred 3.6179 | loss_time 0.0185
Epoch 00011 | Loss 0.4438 | Accuracy 0.8863 | Time : 8.7834 | loop 3.3606 | Model 5.4216 | x_y_time 0.0154 | pred 3.6393 | loss_time 0.0184
Epoch 00012 | Loss 0.4344 | Accuracy 0.8887 | Time : 8.7561 | loop 3.3490 | Model 5.4058 | x_y_time 0.0153 | pred 3.6402 | loss_time 0.0191
Epoch 00013 | Loss 0.4293 | Accuracy 0.8889 | Time : 8.7858 | loop 3.3659 | Model 5.4187 | x_y_time 0.0154 | pred 3.6246 | loss_time 0.0188
Epoch 00014 | Loss 0.4214 | Accuracy 0.8890 | Time : 8.7508 | loop 3.3518 | Model 5.3978 | x_y_time 0.0151 | pred 3.6274 | loss_time 0.0183
Epoch 00015 | Loss 0.4156 | Accuracy 0.8905 | Time : 8.7739 | loop 3.3789 | Model 5.3938 | x_y_time 0.0154 | pred 3.6295 | loss_time 0.0183
Epoch 00016 | Loss 0.4109 | Accuracy 0.8918 | Time : 8.8158 | loop 3.3651 | Model 5.4494 | x_y_time 0.0153 | pred 3.6366 | loss_time 0.0175
Epoch 00017 | Loss 0.4072 | Accuracy 0.8909 | Time : 8.8549 | loop 3.4311 | Model 5.4227 | x_y_time 0.0160 | pred 3.6624 | loss_time 0.0182
Epoch 00018 | Loss 0.4022 | Accuracy 0.8928 | Time : 8.7492 | loop 3.3500 | Model 5.3979 | x_y_time 0.0151 | pred 3.6310 | loss_time 0.0184
Epoch 00019 | Loss 0.3982 | Accuracy 0.8920 | Time : 8.9500 | loop 3.3470 | Model 5.6017 | x_y_time 0.0155 | pred 3.7426 | loss_time 0.0179
Epoch 00020 | Loss 0.3939 | Accuracy 0.8943 | Time : 9.1004 | loop 3.3661 | Model 5.7330 | x_y_time 0.0155 | pred 3.8403 | loss_time 0.0182
Epoch 00021 | Loss 0.3915 | Accuracy 0.8943 | Time : 9.2470 | loop 3.3949 | Model 5.8509 | x_y_time 0.0159 | pred 3.9141 | loss_time 0.0273
Epoch 00022 | Loss 0.3893 | Accuracy 0.8952 | Time : 9.0896 | loop 3.3490 | Model 5.7394 | x_y_time 0.0151 | pred 3.8450 | loss_time 0.0267
Epoch 00023 | Loss 0.3848 | Accuracy 0.8958 | Time : 9.1430 | loop 3.3863 | Model 5.7554 | x_y_time 0.0156 | pred 3.8530 | loss_time 0.0249
Epoch 00024 | Loss 0.3831 | Accuracy 0.8952 | Time : 9.0587 | loop 3.3482 | Model 5.7093 | x_y_time 0.0154 | pred 3.8095 | loss_time 0.0269
Epoch 00025 | Loss 0.3804 | Accuracy 0.8949 | Time : 9.1812 | loop 3.3969 | Model 5.7831 | x_y_time 0.0157 | pred 3.8430 | loss_time 0.0269
Epoch 00026 | Loss 0.3789 | Accuracy 0.8956 | Time : 9.0162 | loop 3.3309 | Model 5.6840 | x_y_time 0.0154 | pred 3.8321 | loss_time 0.0193
Epoch 00027 | Loss 0.3763 | Accuracy 0.8968 | Time : 9.1527 | loop 3.3578 | Model 5.7937 | x_y_time 0.0154 | pred 3.8742 | loss_time 0.0206
Epoch 00028 | Loss 0.3741 | Accuracy 0.8982 | Time : 9.1502 | loop 3.3560 | Model 5.7929 | x_y_time 0.0154 | pred 3.8497 | loss_time 0.0272
Epoch 00029 | Loss 0.3741 | Accuracy 0.8970 | Time : 9.2734 | loop 3.4407 | Model 5.8314 | x_y_time 0.0191 | pred 3.8639 | loss_time 0.0268
Epoch 00030 | Loss 0.3703 | Accuracy 0.8969 | Time : 9.2031 | loop 3.4197 | Model 5.7822 | x_y_time 0.0183 | pred 3.8585 | loss_time 0.0276
Epoch 00031 | Loss 0.3706 | Accuracy 0.8971 | Time : 9.2553 | loop 3.4648 | Model 5.7892 | x_y_time 0.0202 | pred 3.8352 | loss_time 0.0281
Epoch 00032 | Loss 0.3687 | Accuracy 0.8975 | Time : 9.2833 | loop 3.4395 | Model 5.8426 | x_y_time 0.0181 | pred 3.8787 | loss_time 0.0283
Epoch 00033 | Loss 0.3679 | Accuracy 0.8976 | Time : 9.1228 | loop 3.3776 | Model 5.7439 | x_y_time 0.0158 | pred 3.8307 | loss_time 0.0336
Epoch 00034 | Loss 0.3663 | Accuracy 0.8979 | Time : 9.1369 | loop 3.3578 | Model 5.7779 | x_y_time 0.0157 | pred 3.8574 | loss_time 0.0269
Epoch 00035 | Loss 0.3655 | Accuracy 0.8990 | Time : 9.1787 | loop 3.3900 | Model 5.7875 | x_y_time 0.0155 | pred 3.8745 | loss_time 0.0202
Epoch 00036 | Loss 0.3636 | Accuracy 0.8990 | Time : 9.1575 | loop 3.3596 | Model 5.7967 | x_y_time 0.0156 | pred 3.8744 | loss_time 0.0280
Epoch 00037 | Loss 0.3624 | Accuracy 0.8996 | Time : 9.2057 | loop 3.3991 | Model 5.8053 | x_y_time 0.0157 | pred 3.8658 | loss_time 0.0180
Epoch 00038 | Loss 0.3618 | Accuracy 0.8997 | Time : 9.2091 | loop 3.3554 | Model 5.8525 | x_y_time 0.0159 | pred 3.9190 | loss_time 0.0265
Epoch 00039 | Loss 0.3615 | Accuracy 0.8995 | Time : 9.4817 | loop 3.5280 | Model 5.9524 | x_y_time 0.0191 | pred 4.0263 | loss_time 0.0260
Epoch 00040 | Loss 0.3603 | Accuracy 0.8970 | Time : 9.7567 | loop 3.6263 | Model 6.1291 | x_y_time 0.0196 | pred 4.0865 | loss_time 0.0251
Epoch 00041 | Loss 0.3591 | Accuracy 0.8985 | Time : 9.5657 | loop 3.5204 | Model 6.0441 | x_y_time 0.0186 | pred 4.0592 | loss_time 0.0271
Epoch 00042 | Loss 0.3563 | Accuracy 0.9004 | Time : 9.3482 | loop 3.4471 | Model 5.8998 | x_y_time 0.0174 | pred 3.9290 | loss_time 0.0261
Epoch 00043 | Loss 0.3568 | Accuracy 0.9004 | Time : 9.3661 | loop 3.4876 | Model 5.8773 | x_y_time 0.0186 | pred 3.9446 | loss_time 0.0278
Epoch 00044 | Loss 0.3571 | Accuracy 0.8999 | Time : 9.4975 | loop 3.5150 | Model 5.9812 | x_y_time 0.0197 | pred 3.9878 | loss_time 0.0340
Epoch 00045 | Loss 0.3559 | Accuracy 0.9008 | Time : 9.6373 | loop 3.5945 | Model 6.0412 | x_y_time 0.0200 | pred 4.0209 | loss_time 0.0294
Epoch 00046 | Loss 0.3555 | Accuracy 0.9002 | Time : 10.0024 | loop 3.7579 | Model 6.2433 | x_y_time 0.0230 | pred 4.1810 | loss_time 0.0276
Epoch 00047 | Loss 0.3548 | Accuracy 0.9010 | Time : 9.4385 | loop 3.4800 | Model 5.9573 | x_y_time 0.0186 | pred 3.9713 | loss_time 0.0292
Epoch 00048 | Loss 0.3536 | Accuracy 0.9010 | Time : 9.7269 | loop 3.6388 | Model 6.0868 | x_y_time 0.0212 | pred 4.0434 | loss_time 0.0261
Epoch 00049 | Loss 0.3542 | Accuracy 0.8996 | Time : 9.3788 | loop 3.4636 | Model 5.9139 | x_y_time 0.0175 | pred 3.9610 | loss_time 0.0273
Epoch 00050 | Loss 0.3516 | Accuracy 0.9002 | Time : 9.5417 | loop 3.5379 | Model 6.0026 | x_y_time 0.0193 | pred 4.0063 | loss_time 0.0216
Epoch 00051 | Loss 0.3523 | Accuracy 0.9014 | Time : 9.5327 | loop 3.4962 | Model 6.0353 | x_y_time 0.0185 | pred 4.0055 | loss_time 0.0251
Epoch 00052 | Loss 0.3504 | Accuracy 0.9027 | Time : 9.5026 | loop 3.5142 | Model 5.9872 | x_y_time 0.0181 | pred 3.9975 | loss_time 0.0184
Epoch 00053 | Loss 0.3515 | Accuracy 0.9004 | Time : 9.6803 | loop 3.6265 | Model 6.0525 | x_y_time 0.0200 | pred 4.0108 | loss_time 0.0287
Epoch 00054 | Loss 0.3511 | Accuracy 0.9007 | Time : 9.4755 | loop 3.5208 | Model 5.9535 | x_y_time 0.0194 | pred 3.9599 | loss_time 0.0182
Epoch 00055 | Loss 0.3518 | Accuracy 0.8996 | Time : 9.2794 | loop 3.4033 | Model 5.8748 | x_y_time 0.0174 | pred 3.9137 | loss_time 0.0272
Epoch 00056 | Loss 0.3503 | Accuracy 0.9000 | Time : 9.3270 | loop 3.4534 | Model 5.8724 | x_y_time 0.0182 | pred 3.8956 | loss_time 0.0204
Epoch 00057 | Loss 0.3505 | Accuracy 0.9001 | Time : 9.2719 | loop 3.3830 | Model 5.8877 | x_y_time 0.0162 | pred 3.9231 | loss_time 0.0279
Epoch 00058 | Loss 0.3486 | Accuracy 0.9002 | Time : 9.5126 | loop 3.5147 | Model 5.9966 | x_y_time 0.0173 | pred 4.0316 | loss_time 0.0294
Epoch 00059 | Loss 0.3474 | Accuracy 0.9010 | Time : 9.4745 | loop 3.5018 | Model 5.9714 | x_y_time 0.0168 | pred 3.9867 | loss_time 0.0274
Epoch 00060 | Loss 0.3481 | Accuracy 0.9014 | Time : 9.6316 | loop 3.5649 | Model 6.0654 | x_y_time 0.0169 | pred 4.0294 | loss_time 0.0289
Epoch 00061 | Loss 0.3482 | Accuracy 0.9002 | Time : 9.5419 | loop 3.5634 | Model 5.9772 | x_y_time 0.0177 | pred 4.0144 | loss_time 0.0262
Epoch 00062 | Loss 0.3479 | Accuracy 0.9004 | Time : 9.5486 | loop 3.5434 | Model 6.0041 | x_y_time 0.0174 | pred 4.0130 | loss_time 0.0271
Epoch 00063 | Loss 0.3462 | Accuracy 0.9014 | Time : 9.4503 | loop 3.5250 | Model 5.9241 | x_y_time 0.0171 | pred 3.9734 | loss_time 0.0275
