Dataset = ogbn-products, batch_size = 4096
Layer_1 36635 | Layer_2 133231 | Layer_3 241537
Epoch 00000 | Loss 2.5466 | Accuracy 0.7500 | Time : 16.0297 | loop 11.4698 | Model 4.5591 | x_y_time 0.0135 | pred 2.8788 | loss_time 0.0207
Epoch 00001 | Loss 1.1272 | Accuracy 0.8176 | Time : 5.2676 | loop 2.0561 | Model 3.2107 | x_y_time 0.0078 | pred 2.2770 | loss_time 0.0193
Epoch 00002 | Loss 0.8820 | Accuracy 0.8395 | Time : 5.2706 | loop 2.0487 | Model 3.2211 | x_y_time 0.0080 | pred 2.2872 | loss_time 0.0189
Epoch 00003 | Loss 0.7647 | Accuracy 0.8501 | Time : 5.2696 | loop 2.0360 | Model 3.2328 | x_y_time 0.0082 | pred 2.2950 | loss_time 0.0191
Epoch 00004 | Loss 0.6946 | Accuracy 0.8577 | Time : 5.3529 | loop 2.0995 | Model 3.2527 | x_y_time 0.0084 | pred 2.3170 | loss_time 0.0196
Epoch 00005 | Loss 0.6453 | Accuracy 0.8622 | Time : 5.3226 | loop 2.0661 | Model 3.2557 | x_y_time 0.0083 | pred 2.3142 | loss_time 0.0194
Epoch 00006 | Loss 0.6104 | Accuracy 0.8656 | Time : 5.2671 | loop 2.0452 | Model 3.2211 | x_y_time 0.0084 | pred 2.2866 | loss_time 0.0190
Epoch 00007 | Loss 0.5784 | Accuracy 0.8679 | Time : 5.2728 | loop 2.0491 | Model 3.2228 | x_y_time 0.0083 | pred 2.2775 | loss_time 0.0232
Epoch 00008 | Loss 0.5595 | Accuracy 0.8716 | Time : 5.2910 | loop 2.0614 | Model 3.2289 | x_y_time 0.0083 | pred 2.2754 | loss_time 0.0198
Epoch 00009 | Loss 0.5396 | Accuracy 0.8735 | Time : 5.2566 | loop 2.0386 | Model 3.2172 | x_y_time 0.0084 | pred 2.2921 | loss_time 0.0192
Epoch 00010 | Loss 0.5259 | Accuracy 0.8752 | Time : 5.2295 | loop 2.0310 | Model 3.1978 | x_y_time 0.0080 | pred 2.2772 | loss_time 0.0191
Epoch 00011 | Loss 0.5098 | Accuracy 0.8775 | Time : 5.2341 | loop 2.0270 | Model 3.2063 | x_y_time 0.0082 | pred 2.2757 | loss_time 0.0189
Epoch 00012 | Loss 0.4989 | Accuracy 0.8782 | Time : 5.2866 | loop 2.0658 | Model 3.2200 | x_y_time 0.0086 | pred 2.2966 | loss_time 0.0203
Epoch 00013 | Loss 0.4905 | Accuracy 0.8798 | Time : 5.2051 | loop 2.0173 | Model 3.1870 | x_y_time 0.0078 | pred 2.2668 | loss_time 0.0188
Epoch 00014 | Loss 0.4795 | Accuracy 0.8813 | Time : 5.2282 | loop 2.0241 | Model 3.2033 | x_y_time 0.0082 | pred 2.2711 | loss_time 0.0192
Epoch 00015 | Loss 0.4707 | Accuracy 0.8823 | Time : 5.2194 | loop 2.0248 | Model 3.1938 | x_y_time 0.0084 | pred 2.2698 | loss_time 0.0190
Epoch 00016 | Loss 0.4649 | Accuracy 0.8842 | Time : 5.1959 | loop 2.0186 | Model 3.1766 | x_y_time 0.0078 | pred 2.2661 | loss_time 0.0188
Epoch 00017 | Loss 0.4569 | Accuracy 0.8847 | Time : 5.2237 | loop 2.0385 | Model 3.1844 | x_y_time 0.0077 | pred 2.2720 | loss_time 0.0189
Epoch 00018 | Loss 0.4514 | Accuracy 0.8866 | Time : 5.2125 | loop 2.0301 | Model 3.1817 | x_y_time 0.0078 | pred 2.2714 | loss_time 0.0188
