Dataset = ogbn-products, batch_size = 1024
Layer_1 10185 | Layer_2 51048 | Layer_3 122216
Epoch 00035 | Loss 0.3604 | Accuracy 0.8990 | Time : 15.5241 | loop 5.7563 | Model 9.7657 | x_y_time 0.0325 | pred 6.1068 | loss_time 0.0268
Epoch 00036 | Loss 0.3586 | Accuracy 0.8994 | Time : 15.3636 | loop 5.7082 | Model 9.6533 | x_y_time 0.0322 | pred 6.0584 | loss_time 0.0273
Epoch 00037 | Loss 0.3598 | Accuracy 0.8981 | Time : 15.4644 | loop 5.7084 | Model 9.7539 | x_y_time 0.0317 | pred 6.1226 | loss_time 0.0269
Epoch 00038 | Loss 0.3589 | Accuracy 0.8993 | Time : 15.5060 | loop 5.7674 | Model 9.7364 | x_y_time 0.0328 | pred 6.0744 | loss_time 0.0279
Epoch 00039 | Loss 0.3583 | Accuracy 0.8997 | Time : 15.5357 | loop 5.7691 | Model 9.7645 | x_y_time 0.0324 | pred 6.0940 | loss_time 0.0277
Epoch 00040 | Loss 0.3576 | Accuracy 0.8992 | Time : 15.4756 | loop 5.7838 | Model 9.6897 | x_y_time 0.0327 | pred 6.0815 | loss_time 0.0271
Epoch 00041 | Loss 0.3578 | Accuracy 0.8986 | Time : 15.4529 | loop 5.7053 | Model 9.7454 | x_y_time 0.0323 | pred 6.0313 | loss_time 0.0290
Epoch 00042 | Loss 0.3549 | Accuracy 0.9002 | Time : 15.5003 | loop 5.7545 | Model 9.7436 | x_y_time 0.0320 | pred 6.1013 | loss_time 0.0282
Epoch 00043 | Loss 0.3551 | Accuracy 0.8991 | Time : 15.5452 | loop 5.7893 | Model 9.7537 | x_y_time 0.0324 | pred 6.1167 | loss_time 0.0270
Epoch 00044 | Loss 0.3555 | Accuracy 0.9001 | Time : 15.3932 | loop 5.7427 | Model 9.6484 | x_y_time 0.0329 | pred 6.0332 | loss_time 0.0273
Epoch 00045 | Loss 0.3546 | Accuracy 0.8997 | Time : 15.5687 | loop 5.7759 | Model 9.7907 | x_y_time 0.0324 | pred 6.1588 | loss_time 0.0277
Epoch 00046 | Loss 0.3551 | Accuracy 0.8992 | Time : 15.5911 | loop 5.7831 | Model 9.8059 | x_y_time 0.0330 | pred 6.1184 | loss_time 0.0281
Epoch 00047 | Loss 0.3547 | Accuracy 0.9004 | Time : 15.3771 | loop 5.7457 | Model 9.6293 | x_y_time 0.0320 | pred 6.0381 | loss_time 0.0271
Epoch 00048 | Loss 0.3528 | Accuracy 0.8992 | Time : 15.5055 | loop 5.7326 | Model 9.7707 | x_y_time 0.0326 | pred 6.1150 | loss_time 0.0259
Epoch 00049 | Loss 0.3517 | Accuracy 0.8994 | Time : 15.4105 | loop 5.7397 | Model 9.6687 | x_y_time 0.0327 | pred 6.0739 | loss_time 0.0249
Epoch 00050 | Loss 0.3516 | Accuracy 0.8994 | Time : 15.4159 | loop 5.7399 | Model 9.6739 | x_y_time 0.0321 | pred 6.0589 | loss_time 0.0274
Epoch 00051 | Loss 0.3540 | Accuracy 0.8992 | Time : 15.6136 | loop 5.8045 | Model 9.8070 | x_y_time 0.0329 | pred 6.1656 | loss_time 0.0254
Epoch 00052 | Loss 0.3517 | Accuracy 0.8992 | Time : 15.5660 | loop 5.7355 | Model 9.8283 | x_y_time 0.0326 | pred 6.1553 | loss_time 0.0301
Epoch 00053 | Loss 0.3509 | Accuracy 0.8995 | Time : 15.3364 | loop 5.7329 | Model 9.6014 | x_y_time 0.0323 | pred 6.0347 | loss_time 0.0280
Epoch 00054 | Loss 0.3509 | Accuracy 0.9010 | Time : 15.5775 | loop 5.8232 | Model 9.7521 | x_y_time 0.0363 | pred 6.0746 | loss_time 0.0276
Epoch 00055 | Loss 0.3501 | Accuracy 0.9005 | Time : 15.5596 | loop 5.8936 | Model 9.6638 | x_y_time 0.0404 | pred 6.0001 | loss_time 0.0277
