Dataset = ogbn-products, batch_size = 4096
Layer_1 69561 | Layer_2 333189 | Layer_3 642391
Epoch 00000 | Loss 2.3976 | Accuracy 0.7756 | Time : 21.3331 | loop 13.0996 | Model 8.2326 | x_y_time 0.0142 | pred 5.9710 | loss_time 0.0334
Epoch 00001 | Loss 1.0196 | Accuracy 0.8343 | Time : 10.7700 | loop 3.7968 | Model 6.9723 | x_y_time 0.0080 | pred 5.4016 | loss_time 0.0322
Epoch 00002 | Loss 0.7888 | Accuracy 0.8539 | Time : 10.7121 | loop 3.7735 | Model 6.9379 | x_y_time 0.0083 | pred 5.3716 | loss_time 0.0321
Epoch 00003 | Loss 0.6780 | Accuracy 0.8641 | Time : 10.7405 | loop 3.7670 | Model 6.9727 | x_y_time 0.0085 | pred 5.4062 | loss_time 0.0317
Epoch 00004 | Loss 0.6119 | Accuracy 0.8707 | Time : 10.7364 | loop 3.7719 | Model 6.9638 | x_y_time 0.0086 | pred 5.4147 | loss_time 0.0316
Epoch 00005 | Loss 0.5674 | Accuracy 0.8741 | Time : 10.7250 | loop 3.7758 | Model 6.9484 | x_y_time 0.0082 | pred 5.3876 | loss_time 0.0334
Epoch 00006 | Loss 0.5355 | Accuracy 0.8786 | Time : 10.7117 | loop 3.7551 | Model 6.9558 | x_y_time 0.0088 | pred 5.3971 | loss_time 0.0321
Epoch 00007 | Loss 0.5114 | Accuracy 0.8805 | Time : 10.7006 | loop 3.7655 | Model 6.9342 | x_y_time 0.0085 | pred 5.3697 | loss_time 0.0331
Epoch 00008 | Loss 0.4903 | Accuracy 0.8838 | Time : 10.6978 | loop 3.7574 | Model 6.9397 | x_y_time 0.0087 | pred 5.3766 | loss_time 0.0322
Epoch 00009 | Loss 0.4756 | Accuracy 0.8854 | Time : 10.7265 | loop 3.7585 | Model 6.9672 | x_y_time 0.0086 | pred 5.3969 | loss_time 0.0325
Epoch 00010 | Loss 0.4617 | Accuracy 0.8882 | Time : 10.7195 | loop 3.7659 | Model 6.9528 | x_y_time 0.0083 | pred 5.3794 | loss_time 0.0321
Epoch 00011 | Loss 0.4501 | Accuracy 0.8894 | Time : 10.7103 | loop 3.7716 | Model 6.9379 | x_y_time 0.0085 | pred 5.3723 | loss_time 0.0318
Epoch 00012 | Loss 0.4392 | Accuracy 0.8909 | Time : 10.7157 | loop 3.7480 | Model 6.9669 | x_y_time 0.0085 | pred 5.4064 | loss_time 0.0322
Epoch 00013 | Loss 0.4310 | Accuracy 0.8928 | Time : 10.6944 | loop 3.7445 | Model 6.9491 | x_y_time 0.0083 | pred 5.3823 | loss_time 0.0324
Epoch 00014 | Loss 0.4229 | Accuracy 0.8938 | Time : 10.7239 | loop 3.7581 | Model 6.9650 | x_y_time 0.0087 | pred 5.3993 | loss_time 0.0322
Epoch 00015 | Loss 0.4151 | Accuracy 0.8950 | Time : 10.6916 | loop 3.7533 | Model 6.9375 | x_y_time 0.0089 | pred 5.3702 | loss_time 0.0318
Epoch 00016 | Loss 0.4097 | Accuracy 0.8956 | Time : 10.7101 | loop 3.7505 | Model 6.9588 | x_y_time 0.0085 | pred 5.3930 | loss_time 0.0321
Epoch 00017 | Loss 0.4034 | Accuracy 0.8966 | Time : 10.7043 | loop 3.7495 | Model 6.9538 | x_y_time 0.0086 | pred 5.3869 | loss_time 0.0325
Epoch 00018 | Loss 0.3978 | Accuracy 0.8978 | Time : 10.7490 | loop 3.7830 | Model 6.9652 | x_y_time 0.0087 | pred 5.3990 | loss_time 0.0325
Epoch 00019 | Loss 0.3927 | Accuracy 0.8985 | Time : 10.7399 | loop 3.7844 | Model 6.9547 | x_y_time 0.0089 | pred 5.3833 | loss_time 0.0330
Epoch 00020 | Loss 0.3884 | Accuracy 0.8984 | Time : 10.7243 | loop 3.7562 | Model 6.9674 | x_y_time 0.0085 | pred 5.4021 | loss_time 0.0340
Epoch 00021 | Loss 0.3841 | Accuracy 0.8993 | Time : 11.0221 | loop 3.7857 | Model 7.2356 | x_y_time 0.0091 | pred 5.5900 | loss_time 0.0359
Epoch 00022 | Loss 0.3802 | Accuracy 0.9004 | Time : 11.0542 | loop 3.7694 | Model 7.2839 | x_y_time 0.0091 | pred 5.6196 | loss_time 0.0363
Epoch 00023 | Loss 0.3765 | Accuracy 0.9009 | Time : 11.0461 | loop 3.7860 | Model 7.2593 | x_y_time 0.0091 | pred 5.5978 | loss_time 0.0340
Epoch 00024 | Loss 0.3747 | Accuracy 0.9010 | Time : 11.0375 | loop 3.7798 | Model 7.2569 | x_y_time 0.0093 | pred 5.6099 | loss_time 0.0321
Epoch 00025 | Loss 0.3701 | Accuracy 0.9020 | Time : 11.0011 | loop 3.7677 | Model 7.2327 | x_y_time 0.0087 | pred 5.5907 | loss_time 0.0360
Epoch 00026 | Loss 0.3668 | Accuracy 0.9023 | Time : 11.0460 | loop 3.7761 | Model 7.2691 | x_y_time 0.0086 | pred 5.6209 | loss_time 0.0361
Epoch 00027 | Loss 0.3641 | Accuracy 0.9033 | Time : 11.0852 | loop 3.8139 | Model 7.2706 | x_y_time 0.0090 | pred 5.6143 | loss_time 0.0361
Epoch 00028 | Loss 0.3624 | Accuracy 0.9019 | Time : 10.9929 | loop 3.7915 | Model 7.2006 | x_y_time 0.0089 | pred 5.5804 | loss_time 0.0361
Epoch 00029 | Loss 0.3583 | Accuracy 0.9028 | Time : 10.9549 | loop 3.7567 | Model 7.1974 | x_y_time 0.0086 | pred 5.5742 | loss_time 0.0365
Epoch 00030 | Loss 0.3577 | Accuracy 0.9028 | Time : 11.0802 | loop 3.7880 | Model 7.2914 | x_y_time 0.0089 | pred 5.6235 | loss_time 0.0361
Epoch 00031 | Loss 0.3548 | Accuracy 0.9027 | Time : 11.0488 | loop 3.7714 | Model 7.2766 | x_y_time 0.0088 | pred 5.6070 | loss_time 0.0322
Epoch 00032 | Loss 0.3525 | Accuracy 0.9033 | Time : 11.0086 | loop 3.7739 | Model 7.2339 | x_y_time 0.0088 | pred 5.6021 | loss_time 0.0321
Epoch 00033 | Loss 0.3502 | Accuracy 0.9036 | Time : 11.0346 | loop 3.7935 | Model 7.2404 | x_y_time 0.0094 | pred 5.5915 | loss_time 0.0364
Epoch 00034 | Loss 0.3500 | Accuracy 0.9047 | Time : 11.0146 | loop 3.7947 | Model 7.2191 | x_y_time 0.0088 | pred 5.5872 | loss_time 0.0361
Epoch 00035 | Loss 0.3473 | Accuracy 0.9042 | Time : 11.0833 | loop 3.7987 | Model 7.2838 | x_y_time 0.0089 | pred 5.6183 | loss_time 0.0321
Epoch 00036 | Loss 0.3449 | Accuracy 0.9047 | Time : 11.0080 | loop 3.7559 | Model 7.2513 | x_y_time 0.0091 | pred 5.5953 | loss_time 0.0375
Epoch 00037 | Loss 0.3435 | Accuracy 0.9057 | Time : 11.0651 | loop 3.8029 | Model 7.2614 | x_y_time 0.0087 | pred 5.6182 | loss_time 0.0366
Epoch 00038 | Loss 0.3424 | Accuracy 0.9053 | Time : 11.0080 | loop 3.7615 | Model 7.2457 | x_y_time 0.0087 | pred 5.5997 | loss_time 0.0318
Epoch 00039 | Loss 0.3397 | Accuracy 0.9052 | Time : 11.0128 | loop 3.7745 | Model 7.2374 | x_y_time 0.0087 | pred 5.5901 | loss_time 0.0362
