Dataset = ogbn-products, batch_size = 2048
Layer_1 37373 | Layer_2 227639 | Layer_3 510798
Epoch 00000 | Loss 1.7547 | Accuracy 0.8256 | Time : 27.4871 | loop 15.2202 | Model 12.2657 | x_y_time 0.0273 | pred 9.2278 | loss_time 0.0243
Epoch 00001 | Loss 0.7840 | Accuracy 0.8592 | Time : 16.8731 | loop 5.8760 | Model 10.9959 | x_y_time 0.0182 | pred 8.6516 | loss_time 0.0236
Epoch 00002 | Loss 0.6265 | Accuracy 0.8711 | Time : 17.2099 | loop 6.0324 | Model 11.1762 | x_y_time 0.0201 | pred 8.8250 | loss_time 0.0237
Epoch 00003 | Loss 0.5574 | Accuracy 0.8764 | Time : 16.7105 | loop 5.7718 | Model 10.9375 | x_y_time 0.0181 | pred 8.6174 | loss_time 0.0236
Epoch 00004 | Loss 0.5156 | Accuracy 0.8815 | Time : 16.8189 | loop 5.8367 | Model 10.9809 | x_y_time 0.0177 | pred 8.6282 | loss_time 0.0231
Epoch 00005 | Loss 0.4828 | Accuracy 0.8857 | Time : 16.7446 | loop 5.8364 | Model 10.9069 | x_y_time 0.0174 | pred 8.6274 | loss_time 0.0237
Epoch 00006 | Loss 0.4608 | Accuracy 0.8886 | Time : 16.8444 | loop 5.8856 | Model 10.9575 | x_y_time 0.0182 | pred 8.6367 | loss_time 0.0240
Epoch 00007 | Loss 0.4424 | Accuracy 0.8904 | Time : 16.8596 | loop 5.8756 | Model 10.9828 | x_y_time 0.0191 | pred 8.6646 | loss_time 0.0245
Epoch 00008 | Loss 0.4289 | Accuracy 0.8920 | Time : 16.8562 | loop 5.8752 | Model 10.9797 | x_y_time 0.0192 | pred 8.6612 | loss_time 0.0241
Epoch 00009 | Loss 0.4175 | Accuracy 0.8945 | Time : 16.8531 | loop 5.8644 | Model 10.9874 | x_y_time 0.0184 | pred 8.6696 | loss_time 0.0255
Epoch 00010 | Loss 0.4082 | Accuracy 0.8951 | Time : 16.8621 | loop 5.9086 | Model 10.9522 | x_y_time 0.0197 | pred 8.6371 | loss_time 0.0290
Epoch 00011 | Loss 0.3996 | Accuracy 0.8965 | Time : 16.8668 | loop 5.9077 | Model 10.9579 | x_y_time 0.0189 | pred 8.6555 | loss_time 0.0236
Epoch 00012 | Loss 0.3916 | Accuracy 0.8979 | Time : 16.9520 | loop 5.8630 | Model 11.0878 | x_y_time 0.0181 | pred 8.7514 | loss_time 0.0235
Epoch 00013 | Loss 0.3857 | Accuracy 0.8988 | Time : 17.2056 | loop 5.8538 | Model 11.3506 | x_y_time 0.0186 | pred 8.9393 | loss_time 0.0302
Epoch 00014 | Loss 0.3796 | Accuracy 0.8977 | Time : 17.2494 | loop 5.8225 | Model 11.4257 | x_y_time 0.0194 | pred 8.9807 | loss_time 0.0292
Epoch 00015 | Loss 0.3759 | Accuracy 0.9003 | Time : 17.3323 | loop 5.8810 | Model 11.4501 | x_y_time 0.0190 | pred 9.0008 | loss_time 0.0291
Epoch 00016 | Loss 0.3701 | Accuracy 0.9001 | Time : 17.3409 | loop 5.9623 | Model 11.3773 | x_y_time 0.0196 | pred 8.9763 | loss_time 0.0290
Epoch 00017 | Loss 0.3655 | Accuracy 0.9015 | Time : 17.2251 | loop 5.8772 | Model 11.3468 | x_y_time 0.0200 | pred 8.9389 | loss_time 0.0295
Epoch 00018 | Loss 0.3630 | Accuracy 0.9024 | Time : 17.3672 | loop 5.9233 | Model 11.4427 | x_y_time 0.0192 | pred 9.0142 | loss_time 0.0298
Epoch 00019 | Loss 0.3603 | Accuracy 0.9021 | Time : 17.1337 | loop 5.7833 | Model 11.3493 | x_y_time 0.0175 | pred 8.9350 | loss_time 0.0304
Epoch 00020 | Loss 0.3566 | Accuracy 0.9026 | Time : 16.9198 | loop 5.7477 | Model 11.1709 | x_y_time 0.0168 | pred 8.8121 | loss_time 0.0300
Epoch 00021 | Loss 0.3544 | Accuracy 0.9021 | Time : 17.0209 | loop 5.7380 | Model 11.2817 | x_y_time 0.0167 | pred 8.8686 | loss_time 0.0295
Epoch 00022 | Loss 0.3509 | Accuracy 0.9039 | Time : 17.1060 | loop 5.7587 | Model 11.3462 | x_y_time 0.0165 | pred 8.9102 | loss_time 0.0297
Epoch 00023 | Loss 0.3495 | Accuracy 0.9036 | Time : 17.1240 | loop 5.7865 | Model 11.3363 | x_y_time 0.0169 | pred 8.9017 | loss_time 0.0296
Epoch 00024 | Loss 0.3458 | Accuracy 0.9038 | Time : 17.0556 | loop 5.7385 | Model 11.3158 | x_y_time 0.0162 | pred 8.8966 | loss_time 0.0233
Epoch 00025 | Loss 0.3435 | Accuracy 0.9039 | Time : 17.1498 | loop 5.7802 | Model 11.3684 | x_y_time 0.0170 | pred 8.9258 | loss_time 0.0299
Epoch 00026 | Loss 0.3406 | Accuracy 0.9050 | Time : 17.2666 | loop 5.8754 | Model 11.3900 | x_y_time 0.0202 | pred 8.9601 | loss_time 0.0335
Epoch 00027 | Loss 0.3411 | Accuracy 0.9044 | Time : 17.1655 | loop 5.8801 | Model 11.2841 | x_y_time 0.0224 | pred 8.8648 | loss_time 0.0326
Epoch 00028 | Loss 0.3378 | Accuracy 0.9049 | Time : 17.0989 | loop 5.7688 | Model 11.3289 | x_y_time 0.0175 | pred 8.9044 | loss_time 0.0299
Epoch 00029 | Loss 0.3371 | Accuracy 0.9048 | Time : 17.0848 | loop 5.7568 | Model 11.3269 | x_y_time 0.0167 | pred 8.8927 | loss_time 0.0298
Epoch 00030 | Loss 0.3351 | Accuracy 0.9043 | Time : 17.1258 | loop 5.7446 | Model 11.3800 | x_y_time 0.0170 | pred 8.9228 | loss_time 0.0333
Epoch 00031 | Loss 0.3340 | Accuracy 0.9050 | Time : 17.0840 | loop 5.7402 | Model 11.3425 | x_y_time 0.0166 | pred 8.9189 | loss_time 0.0303
Epoch 00032 | Loss 0.3342 | Accuracy 0.9062 | Time : 17.0724 | loop 5.7629 | Model 11.3083 | x_y_time 0.0172 | pred 8.8881 | loss_time 0.0299
Epoch 00033 | Loss 0.3295 | Accuracy 0.9062 | Time : 17.0729 | loop 5.7615 | Model 11.3102 | x_y_time 0.0171 | pred 8.9031 | loss_time 0.0300
Epoch 00034 | Loss 0.3291 | Accuracy 0.9059 | Time : 17.2031 | loop 5.7675 | Model 11.4345 | x_y_time 0.0170 | pred 8.9730 | loss_time 0.0294
Epoch 00035 | Loss 0.3279 | Accuracy 0.9065 | Time : 17.1016 | loop 5.7568 | Model 11.3436 | x_y_time 0.0165 | pred 8.9374 | loss_time 0.0300
Epoch 00036 | Loss 0.3284 | Accuracy 0.9054 | Time : 17.1261 | loop 5.7601 | Model 11.3648 | x_y_time 0.0168 | pred 8.8949 | loss_time 0.0297
Epoch 00037 | Loss 0.3262 | Accuracy 0.9038 | Time : 17.0457 | loop 5.7397 | Model 11.3048 | x_y_time 0.0173 | pred 8.8856 | loss_time 0.0309
Epoch 00038 | Loss 0.3254 | Accuracy 0.9065 | Time : 17.1621 | loop 5.7763 | Model 11.3846 | x_y_time 0.0178 | pred 8.9317 | loss_time 0.0296
