Dataset = ogbn-products, batch_size = 2048
Layer_1 21689 | Layer_2 179178 | Layer_3 777698
Epoch 00000 | Loss 1.6314 | Accuracy 0.8380 | Time : 4.1946 | loop 1.3575 | Model 2.8370 | x_y_time 0.0019 | pred 2.0502 | loss_time 0.0017
Epoch 00001 | Loss 0.6924 | Accuracy 0.8640 | Time : 4.0046 | loop 1.3344 | Model 2.6701 | x_y_time 0.0010 | pred 2.0146 | loss_time 0.0016
Epoch 00002 | Loss 0.5741 | Accuracy 0.8749 | Time : 4.0469 | loop 1.3431 | Model 2.7037 | x_y_time 0.0011 | pred 2.0185 | loss_time 0.0015
Epoch 00003 | Loss 0.5116 | Accuracy 0.8813 | Time : 4.0129 | loop 1.3342 | Model 2.6786 | x_y_time 0.0010 | pred 2.0170 | loss_time 0.0015
Epoch 00004 | Loss 0.4715 | Accuracy 0.8862 | Time : 4.0701 | loop 1.3611 | Model 2.7089 | x_y_time 0.0010 | pred 2.0291 | loss_time 0.0039
Epoch 00005 | Loss 0.4609 | Accuracy 0.8901 | Time : 4.1934 | loop 1.3507 | Model 2.8426 | x_y_time 0.0011 | pred 2.0260 | loss_time 0.0021
Epoch 00006 | Loss 0.4403 | Accuracy 0.8923 | Time : 5.5593 | loop 1.3807 | Model 4.1785 | x_y_time 0.0012 | pred 3.3660 | loss_time 0.0037
Epoch 00007 | Loss 0.4161 | Accuracy 0.8930 | Time : 4.1991 | loop 1.3801 | Model 2.8189 | x_y_time 0.0013 | pred 2.0205 | loss_time 0.0015
Epoch 00008 | Loss 0.3996 | Accuracy 0.8964 | Time : 4.1813 | loop 1.3794 | Model 2.8018 | x_y_time 0.0012 | pred 2.0248 | loss_time 0.0050
Epoch 00009 | Loss 0.3924 | Accuracy 0.8972 | Time : 4.1633 | loop 1.3744 | Model 2.7888 | x_y_time 0.0012 | pred 2.0211 | loss_time 0.0039
Epoch 00010 | Loss 0.3835 | Accuracy 0.8981 | Time : 4.2030 | loop 1.3641 | Model 2.8387 | x_y_time 0.0012 | pred 2.0197 | loss_time 0.0054
Epoch 00011 | Loss 0.3752 | Accuracy 0.9005 | Time : 4.2329 | loop 1.3852 | Model 2.8476 | x_y_time 0.0012 | pred 2.0266 | loss_time 0.0038
Epoch 00012 | Loss 0.3735 | Accuracy 0.8979 | Time : 4.1806 | loop 1.3632 | Model 2.8172 | x_y_time 0.0011 | pred 2.0229 | loss_time 0.0023
Epoch 00013 | Loss 0.3706 | Accuracy 0.9007 | Time : 5.3671 | loop 1.3379 | Model 4.0290 | x_y_time 0.0010 | pred 3.3618 | loss_time 0.0016
Epoch 00014 | Loss 0.3582 | Accuracy 0.9010 | Time : 4.0974 | loop 1.3530 | Model 2.7441 | x_y_time 0.0010 | pred 2.0273 | loss_time 0.0051
Epoch 00015 | Loss 0.3546 | Accuracy 0.9029 | Time : 4.1269 | loop 1.3545 | Model 2.7722 | x_y_time 0.0011 | pred 2.0193 | loss_time 0.0022
Epoch 00016 | Loss 0.3488 | Accuracy 0.9029 | Time : 4.2072 | loop 1.3799 | Model 2.8271 | x_y_time 0.0012 | pred 2.0234 | loss_time 0.0032
Epoch 00017 | Loss 0.3414 | Accuracy 0.9054 | Time : 4.1806 | loop 1.4045 | Model 2.7760 | x_y_time 0.0013 | pred 2.0283 | loss_time 0.0020
Epoch 00018 | Loss 0.3408 | Accuracy 0.9014 | Time : 4.0378 | loop 1.3450 | Model 2.6927 | x_y_time 0.0010 | pred 2.0225 | loss_time 0.0016
Epoch 00019 | Loss 0.3441 | Accuracy 0.9046 | Time : 4.1565 | loop 1.3667 | Model 2.7897 | x_y_time 0.0012 | pred 2.0277 | loss_time 0.0022
Epoch 00020 | Loss 0.3424 | Accuracy 0.9038 | Time : 5.5176 | loop 1.3584 | Model 4.1591 | x_y_time 0.0011 | pred 3.3738 | loss_time 0.0047
