Dataset = ogbn-products, batch_size = 1024
Layer_1 11000 | Layer_2 97649 | Layer_3 521106
Epoch 00035 | Loss 0.3051 | Accuracy 0.9068 | Time : 5.4866 | loop 1.7324 | Model 3.7540 | x_y_time 0.0022 | pred 2.5720 | loss_time 0.0025
Epoch 00036 | Loss 0.3084 | Accuracy 0.9037 | Time : 5.2012 | loop 1.7272 | Model 3.4738 | x_y_time 0.0023 | pred 2.5804 | loss_time 0.0019
Epoch 00037 | Loss 0.3133 | Accuracy 0.9052 | Time : 5.4070 | loop 1.6993 | Model 3.7076 | x_y_time 0.0021 | pred 2.5605 | loss_time 0.0016
Epoch 00038 | Loss 0.3075 | Accuracy 0.9099 | Time : 6.6568 | loop 3.0479 | Model 3.6088 | x_y_time 0.0020 | pred 2.5629 | loss_time 0.0016
Epoch 00039 | Loss 0.3021 | Accuracy 0.9090 | Time : 5.4417 | loop 1.7025 | Model 3.7390 | x_y_time 0.0021 | pred 2.5598 | loss_time 0.0023
Epoch 00040 | Loss 0.3060 | Accuracy 0.9075 | Time : 5.4639 | loop 1.7167 | Model 3.7470 | x_y_time 0.0021 | pred 2.5605 | loss_time 0.0024
Epoch 00041 | Loss 0.3079 | Accuracy 0.9119 | Time : 5.4538 | loop 1.7069 | Model 3.7466 | x_y_time 0.0021 | pred 2.5628 | loss_time 0.0021
Epoch 00042 | Loss 0.2992 | Accuracy 0.9114 | Time : 5.4657 | loop 1.7183 | Model 3.7471 | x_y_time 0.0022 | pred 2.5630 | loss_time 0.0018
Epoch 00043 | Loss 0.3001 | Accuracy 0.9078 | Time : 6.4293 | loop 1.6645 | Model 4.7646 | x_y_time 0.0020 | pred 3.8922 | loss_time 0.0015
Epoch 00044 | Loss 0.3052 | Accuracy 0.9032 | Time : 5.0981 | loop 1.6778 | Model 3.4202 | x_y_time 0.0020 | pred 2.5642 | loss_time 0.0015
Epoch 00045 | Loss 0.3125 | Accuracy 0.9079 | Time : 5.1081 | loop 1.6725 | Model 3.4354 | x_y_time 0.0020 | pred 2.5597 | loss_time 0.0016
Epoch 00046 | Loss 0.3068 | Accuracy 0.9096 | Time : 5.4831 | loop 1.7659 | Model 3.7170 | x_y_time 0.0024 | pred 2.5863 | loss_time 0.0045
Epoch 00047 | Loss 0.3042 | Accuracy 0.9036 | Time : 5.5491 | loop 1.7650 | Model 3.7839 | x_y_time 0.0024 | pred 2.5800 | loss_time 0.0025
Epoch 00048 | Loss 0.3082 | Accuracy 0.9122 | Time : 5.2443 | loop 1.7049 | Model 3.5392 | x_y_time 0.0022 | pred 2.5721 | loss_time 0.0026
Epoch 00049 | Loss 0.3007 | Accuracy 0.9056 | Time : 5.4755 | loop 1.7557 | Model 3.7196 | x_y_time 0.0023 | pred 2.5857 | loss_time 0.0016
Epoch 00050 | Loss 0.3048 | Accuracy 0.9111 | Time : 5.4308 | loop 1.7075 | Model 3.7231 | x_y_time 0.0021 | pred 2.5621 | loss_time 0.0016
Epoch 00051 | Loss 0.3027 | Accuracy 0.9109 | Time : 5.5023 | loop 1.7281 | Model 3.7740 | x_y_time 0.0022 | pred 2.5694 | loss_time 0.0021
Epoch 00052 | Loss 0.3026 | Accuracy 0.9114 | Time : 5.3886 | loop 1.7048 | Model 3.6836 | x_y_time 0.0021 | pred 2.5629 | loss_time 0.0016
Epoch 00053 | Loss 0.3023 | Accuracy 0.9044 | Time : 5.4984 | loop 1.7310 | Model 3.7672 | x_y_time 0.0023 | pred 2.5803 | loss_time 0.0037
Epoch 00054 | Loss 0.3064 | Accuracy 0.9115 | Time : 6.8936 | loop 1.7833 | Model 5.1102 | x_y_time 0.0025 | pred 2.5982 | loss_time 0.0024
Epoch 00055 | Loss 0.2965 | Accuracy 0.9113 | Time : 5.4037 | loop 1.6978 | Model 3.7057 | x_y_time 0.0021 | pred 2.5596 | loss_time 0.0041
Epoch 00056 | Loss 0.2957 | Accuracy 0.9114 | Time : 5.4709 | loop 1.7040 | Model 3.7667 | x_y_time 0.0020 | pred 2.5608 | loss_time 0.0024
Epoch 00057 | Loss 0.2950 | Accuracy 0.9089 | Time : 5.4959 | loop 1.7247 | Model 3.7710 | x_y_time 0.0022 | pred 2.5691 | loss_time 0.0020
Epoch 00058 | Loss 0.2981 | Accuracy 0.9115 | Time : 5.2507 | loop 1.7000 | Model 3.5505 | x_y_time 0.0021 | pred 2.5663 | loss_time 0.0016
Epoch 00059 | Loss 0.2953 | Accuracy 0.9108 | Time : 6.7652 | loop 1.7211 | Model 5.0439 | x_y_time 0.0022 | pred 3.9108 | loss_time 0.0035
Epoch 00060 | Loss 0.2956 | Accuracy 0.9087 | Time : 5.4639 | loop 1.7098 | Model 3.7539 | x_y_time 0.0021 | pred 2.5641 | loss_time 0.0023
Epoch 00061 | Loss 0.3007 | Accuracy 0.9095 | Time : 5.5513 | loop 1.7549 | Model 3.7962 | x_y_time 0.0024 | pred 2.5875 | loss_time 0.0040
Epoch 00062 | Loss 0.3007 | Accuracy 0.9128 | Time : 5.3358 | loop 1.7180 | Model 3.6176 | x_y_time 0.0022 | pred 2.5710 | loss_time 0.0021
