Dataset = ogbn-products, batch_size = 4096
Layer_1 76573 | Layer_2 679820 | Layer_3 1696456
Epoch 00000 | Loss 2.3472 | Accuracy 0.7835 | Time : 6.9651 | loop 2.6478 | Model 4.3171 | x_y_time 0.0009 | pred 3.0943 | loss_time 0.0037
Epoch 00001 | Loss 0.9509 | Accuracy 0.8378 | Time : 6.9164 | loop 2.6702 | Model 4.2461 | x_y_time 0.0005 | pred 3.0701 | loss_time 0.0016
Epoch 00002 | Loss 0.7290 | Accuracy 0.8565 | Time : 8.3576 | loop 2.7219 | Model 5.6356 | x_y_time 0.0005 | pred 4.4190 | loss_time 0.0050
Epoch 00003 | Loss 0.6275 | Accuracy 0.8681 | Time : 6.9389 | loop 2.6784 | Model 4.2605 | x_y_time 0.0005 | pred 3.0739 | loss_time 0.0016
Epoch 00004 | Loss 0.5594 | Accuracy 0.8760 | Time : 6.9860 | loop 2.7296 | Model 4.2563 | x_y_time 0.0005 | pred 3.0791 | loss_time 0.0016
Epoch 00005 | Loss 0.5235 | Accuracy 0.8796 | Time : 6.9674 | loop 2.7212 | Model 4.2461 | x_y_time 0.0005 | pred 3.0779 | loss_time 0.0016
Epoch 00006 | Loss 0.4891 | Accuracy 0.8841 | Time : 8.3337 | loop 2.7393 | Model 5.5943 | x_y_time 0.0005 | pred 4.4260 | loss_time 0.0016
Epoch 00007 | Loss 0.4751 | Accuracy 0.8852 | Time : 7.0168 | loop 2.7263 | Model 4.2904 | x_y_time 0.0005 | pred 3.0793 | loss_time 0.0048
Epoch 00008 | Loss 0.4578 | Accuracy 0.8879 | Time : 7.0747 | loop 2.7386 | Model 4.3360 | x_y_time 0.0007 | pred 3.0839 | loss_time 0.0046
Epoch 00009 | Loss 0.4661 | Accuracy 0.8885 | Time : 7.0759 | loop 2.7632 | Model 4.3126 | x_y_time 0.0006 | pred 3.0849 | loss_time 0.0033
Epoch 00010 | Loss 0.4344 | Accuracy 0.8902 | Time : 8.3337 | loop 2.7181 | Model 5.6155 | x_y_time 0.0005 | pred 3.0786 | loss_time 0.0017
Epoch 00011 | Loss 0.4140 | Accuracy 0.8930 | Time : 7.0886 | loop 2.7476 | Model 4.3409 | x_y_time 0.0006 | pred 3.0877 | loss_time 0.0038
Epoch 00012 | Loss 0.4070 | Accuracy 0.8933 | Time : 7.0737 | loop 2.7463 | Model 4.3274 | x_y_time 0.0005 | pred 3.0859 | loss_time 0.0017
