Dataset = ogbn-products, batch_size = 4096
Layer_1 42290 | Layer_2 311549 | Layer_3 1059049
Epoch 00000 | Loss 2.3744 | Accuracy 0.7836 | Time : 3.3021 | loop 1.1099 | Model 2.1922 | x_y_time 0.0010 | pred 1.5524 | loss_time 0.0035
Epoch 00001 | Loss 0.9775 | Accuracy 0.8387 | Time : 3.1820 | loop 1.1023 | Model 2.0797 | x_y_time 0.0005 | pred 1.5157 | loss_time 0.0016
Epoch 00002 | Loss 0.7483 | Accuracy 0.8555 | Time : 3.2196 | loop 1.1235 | Model 2.0960 | x_y_time 0.0005 | pred 1.5238 | loss_time 0.0036
Epoch 00003 | Loss 0.6375 | Accuracy 0.8653 | Time : 3.2813 | loop 1.1362 | Model 2.1450 | x_y_time 0.0005 | pred 1.5240 | loss_time 0.0035
Epoch 00004 | Loss 0.5855 | Accuracy 0.8730 | Time : 3.3060 | loop 1.1532 | Model 2.1527 | x_y_time 0.0006 | pred 1.5265 | loss_time 0.0031
Epoch 00005 | Loss 0.5507 | Accuracy 0.8769 | Time : 3.3000 | loop 1.1568 | Model 2.1432 | x_y_time 0.0006 | pred 1.5274 | loss_time 0.0040
Epoch 00006 | Loss 0.5048 | Accuracy 0.8803 | Time : 3.3059 | loop 1.1604 | Model 2.1454 | x_y_time 0.0006 | pred 1.5315 | loss_time 0.0040
Epoch 00007 | Loss 0.5006 | Accuracy 0.8817 | Time : 4.6461 | loop 1.1531 | Model 3.4930 | x_y_time 0.0005 | pred 2.8690 | loss_time 0.0033
Epoch 00008 | Loss 0.4844 | Accuracy 0.8825 | Time : 3.2716 | loop 1.1242 | Model 2.1473 | x_y_time 0.0005 | pred 1.5232 | loss_time 0.0042
Epoch 00009 | Loss 0.4607 | Accuracy 0.8833 | Time : 3.2734 | loop 1.1698 | Model 2.1036 | x_y_time 0.0006 | pred 1.5293 | loss_time 0.0016
Epoch 00010 | Loss 0.4461 | Accuracy 0.8860 | Time : 3.2925 | loop 1.1432 | Model 2.1493 | x_y_time 0.0005 | pred 1.5269 | loss_time 0.0018
Epoch 00011 | Loss 0.4319 | Accuracy 0.8902 | Time : 3.3085 | loop 1.1519 | Model 2.1565 | x_y_time 0.0005 | pred 1.5312 | loss_time 0.0045
Epoch 00012 | Loss 0.4194 | Accuracy 0.8910 | Time : 3.3037 | loop 1.1667 | Model 2.1369 | x_y_time 0.0006 | pred 1.5294 | loss_time 0.0016
Epoch 00013 | Loss 0.4115 | Accuracy 0.8922 | Time : 3.2685 | loop 1.1310 | Model 2.1374 | x_y_time 0.0006 | pred 1.5232 | loss_time 0.0036
Epoch 00014 | Loss 0.4047 | Accuracy 0.8923 | Time : 3.3616 | loop 1.1947 | Model 2.1668 | x_y_time 0.0006 | pred 1.5320 | loss_time 0.0047
Epoch 00015 | Loss 0.4412 | Accuracy 0.8927 | Time : 4.6020 | loop 1.1118 | Model 3.4901 | x_y_time 0.0005 | pred 2.8644 | loss_time 0.0034
