Dataset = ogbn-products, batch_size = 1024
Layer_1 20449 | Layer_2 260906 | Layer_3 1171678
Epoch 00000 | Loss 1.2270 | Accuracy 0.8631 | Time : 12.4404 | loop 4.2717 | Model 8.1685 | x_y_time 0.0036 | pred 6.3183 | loss_time 0.0017
Epoch 00001 | Loss 0.5487 | Accuracy 0.8815 | Time : 12.5525 | loop 4.3337 | Model 8.2186 | x_y_time 0.0021 | pred 6.2918 | loss_time 0.0035
Epoch 00002 | Loss 0.4541 | Accuracy 0.8913 | Time : 12.5959 | loop 4.2760 | Model 8.3197 | x_y_time 0.0020 | pred 6.2921 | loss_time 0.0026
Epoch 00003 | Loss 0.4122 | Accuracy 0.8947 | Time : 12.5440 | loop 4.3320 | Model 8.2119 | x_y_time 0.0022 | pred 6.2939 | loss_time 0.0039
Epoch 00004 | Loss 0.3869 | Accuracy 0.8989 | Time : 13.9312 | loop 4.4325 | Model 9.4985 | x_y_time 0.0022 | pred 7.6553 | loss_time 0.0026
Epoch 00005 | Loss 0.3673 | Accuracy 0.8994 | Time : 12.6722 | loop 4.3733 | Model 8.2987 | x_y_time 0.0023 | pred 6.3046 | loss_time 0.0036
Epoch 00006 | Loss 0.3551 | Accuracy 0.9038 | Time : 13.9028 | loop 5.6507 | Model 8.2519 | x_y_time 0.0021 | pred 6.2926 | loss_time 0.0021
Epoch 00007 | Loss 0.3464 | Accuracy 0.9038 | Time : 12.5435 | loop 4.3541 | Model 8.1892 | x_y_time 0.0021 | pred 6.2970 | loss_time 0.0016
Epoch 00008 | Loss 0.3380 | Accuracy 0.9047 | Time : 13.7898 | loop 4.3205 | Model 9.4691 | x_y_time 0.0022 | pred 7.6383 | loss_time 0.0016
Epoch 00009 | Loss 0.3321 | Accuracy 0.9034 | Time : 12.6011 | loop 4.3216 | Model 8.2793 | x_y_time 0.0021 | pred 6.2965 | loss_time 0.0042
Epoch 00010 | Loss 0.3325 | Accuracy 0.9056 | Time : 13.8919 | loop 4.2709 | Model 9.6208 | x_y_time 0.0020 | pred 6.2882 | loss_time 0.0047
Epoch 00011 | Loss 0.3250 | Accuracy 0.9039 | Time : 12.5427 | loop 4.3321 | Model 8.2104 | x_y_time 0.0022 | pred 6.2890 | loss_time 0.0027
Epoch 00012 | Loss 0.3158 | Accuracy 0.9073 | Time : 12.6806 | loop 4.3612 | Model 8.3193 | x_y_time 0.0022 | pred 6.2950 | loss_time 0.0042
Epoch 00013 | Loss 0.3102 | Accuracy 0.9024 | Time : 12.3866 | loop 4.2881 | Model 8.0982 | x_y_time 0.0021 | pred 6.2876 | loss_time 0.0017
Epoch 00014 | Loss 0.3149 | Accuracy 0.9102 | Time : 12.3824 | loop 4.2878 | Model 8.0944 | x_y_time 0.0021 | pred 6.2917 | loss_time 0.0019
Epoch 00015 | Loss 0.3066 | Accuracy 0.9080 | Time : 13.6909 | loop 4.2864 | Model 9.4043 | x_y_time 0.0020 | pred 7.6563 | loss_time 0.0020
Epoch 00016 | Loss 0.3104 | Accuracy 0.9088 | Time : 12.3636 | loop 4.3007 | Model 8.0628 | x_y_time 0.0020 | pred 6.3179 | loss_time 0.0016
Epoch 00017 | Loss 0.3029 | Accuracy 0.9100 | Time : 13.9034 | loop 4.3406 | Model 9.5626 | x_y_time 0.0023 | pred 7.6515 | loss_time 0.0046
Epoch 00018 | Loss 0.3030 | Accuracy 0.9046 | Time : 12.4493 | loop 4.3044 | Model 8.1447 | x_y_time 0.0021 | pred 6.3150 | loss_time 0.0028
