Dataset = ogbn-arxiv, batch_size = 4096
Layer_1 17481 | Layer_2 42803 | Layer_3 66959
Epoch 00000 | Loss 3.1856 | Accuracy 0.2812 | Time : 0.3624 | loop 0.0926 | Model 0.2698 | x_y_time 0.0004 | pred 0.1449 | loss_time 0.0018
Epoch 00001 | Loss 2.4877 | Accuracy 0.4526 | Time : 0.2326 | loop 0.0705 | Model 0.1620 | x_y_time 0.0002 | pred 0.0924 | loss_time 0.0018
Epoch 00002 | Loss 2.1525 | Accuracy 0.5108 | Time : 0.2333 | loop 0.0703 | Model 0.1629 | x_y_time 0.0002 | pred 0.0928 | loss_time 0.0018
Epoch 00003 | Loss 1.9454 | Accuracy 0.5368 | Time : 0.2330 | loop 0.0700 | Model 0.1630 | x_y_time 0.0002 | pred 0.0929 | loss_time 0.0018
Epoch 00004 | Loss 1.8142 | Accuracy 0.5563 | Time : 0.2360 | loop 0.0704 | Model 0.1655 | x_y_time 0.0002 | pred 0.0939 | loss_time 0.0019
Epoch 00005 | Loss 1.7296 | Accuracy 0.5686 | Time : 0.2349 | loop 0.0701 | Model 0.1648 | x_y_time 0.0002 | pred 0.0935 | loss_time 0.0019
Epoch 00006 | Loss 1.6608 | Accuracy 0.5739 | Time : 0.2376 | loop 0.0715 | Model 0.1660 | x_y_time 0.0002 | pred 0.0941 | loss_time 0.0018
Epoch 00007 | Loss 1.6228 | Accuracy 0.5810 | Time : 0.2358 | loop 0.0703 | Model 0.1654 | x_y_time 0.0002 | pred 0.0939 | loss_time 0.0018
Epoch 00008 | Loss 1.5874 | Accuracy 0.5813 | Time : 0.2421 | loop 0.0739 | Model 0.1681 | x_y_time 0.0002 | pred 0.0938 | loss_time 0.0018
Epoch 00009 | Loss 1.5596 | Accuracy 0.5881 | Time : 0.2354 | loop 0.0692 | Model 0.1661 | x_y_time 0.0002 | pred 0.0929 | loss_time 0.0019
Epoch 00010 | Loss 1.5280 | Accuracy 0.5911 | Time : 0.2460 | loop 0.0722 | Model 0.1737 | x_y_time 0.0002 | pred 0.0929 | loss_time 0.0017
Epoch 00011 | Loss 1.5123 | Accuracy 0.5941 | Time : 0.2454 | loop 0.0694 | Model 0.1760 | x_y_time 0.0002 | pred 0.0932 | loss_time 0.0018
Epoch 00012 | Loss 1.4952 | Accuracy 0.5966 | Time : 0.2512 | loop 0.0698 | Model 0.1814 | x_y_time 0.0002 | pred 0.0927 | loss_time 0.0018
Epoch 00013 | Loss 1.4776 | Accuracy 0.5969 | Time : 0.2470 | loop 0.0692 | Model 0.1778 | x_y_time 0.0002 | pred 0.0937 | loss_time 0.0017
Epoch 00014 | Loss 1.4637 | Accuracy 0.5990 | Time : 0.2461 | loop 0.0714 | Model 0.1747 | x_y_time 0.0002 | pred 0.0939 | loss_time 0.0018
Epoch 00015 | Loss 1.4520 | Accuracy 0.6008 | Time : 0.2398 | loop 0.0703 | Model 0.1694 | x_y_time 0.0002 | pred 0.0952 | loss_time 0.0018
Epoch 00016 | Loss 1.4407 | Accuracy 0.5998 | Time : 0.2374 | loop 0.0702 | Model 0.1671 | x_y_time 0.0002 | pred 0.0945 | loss_time 0.0018
Epoch 00017 | Loss 1.4299 | Accuracy 0.6020 | Time : 0.2348 | loop 0.0701 | Model 0.1647 | x_y_time 0.0002 | pred 0.0935 | loss_time 0.0017
Epoch 00018 | Loss 1.4216 | Accuracy 0.6031 | Time : 0.2348 | loop 0.0700 | Model 0.1647 | x_y_time 0.0002 | pred 0.0935 | loss_time 0.0018
Epoch 00019 | Loss 1.4125 | Accuracy 0.6065 | Time : 0.2353 | loop 0.0702 | Model 0.1651 | x_y_time 0.0002 | pred 0.0937 | loss_time 0.0018
Epoch 00020 | Loss 1.4037 | Accuracy 0.6060 | Time : 0.2382 | loop 0.0705 | Model 0.1676 | x_y_time 0.0002 | pred 0.0947 | loss_time 0.0019
Epoch 00021 | Loss 1.3973 | Accuracy 0.6071 | Time : 0.2372 | loop 0.0699 | Model 0.1672 | x_y_time 0.0002 | pred 0.0945 | loss_time 0.0018
